subject_id,split
10004613282,train
10003593384,train
10004155924,train
10003218097,train
10004282960,train
10005018180,train
10004338311,train
10003968820,train
10003238838,train
10004782424,train
10003581866,train
10003366384,train
10003240415,train
10004727339,train
10004166313,train
10004133328,train
10003945985,train
10004571078,train
10003962450,train
10004199581,train
10003314990,train
10003261557,train
10003496364,train
10004303349,train
10005052780,train
10004183517,train
10004306329,train
10004002029,train
10004999947,train
10005117594,train
10004775613,train
10004817392,train
10004313620,train
10004595348,train
10004698150,train
10004135196,train
10003260879,train
10003209603,train
10005087729,train
10004029566,train
10004254558,train
10003461918,train
10004775427,train
10004464929,train
10004839201,train
10004817985,train
10003213633,train
10004689573,train
10003320842,train
10004604195,train
10004315292,train
10004757111,train
10004196247,train
10004278038,train
10003673058,train
10003592166,train
10003526548,train
10004341393,train
10004581441,train
10004663639,train
10004297514,train
10004536008,train
10003407677,train
10004875495,train
10004334948,train
10003591786,train
10004164527,train
10004298607,train
10003471625,train
10004063207,train
10003958609,train
10004018304,train
10003938502,train
10003989607,train
10003239492,train
10004849185,train
10004524366,train
10003969441,train
10004346743,train
10003256284,train
10005047990,train
10004346424,train
10004355003,train
10004617404,train
10003959131,train
10004835790,train
10005112719,train
10004898623,train
10004230633,train
10005018097,train
10004975763,train
10004809359,train
10004849207,train
10004389153,train
10004365570,train
10004334420,train
10003202380,train
10004517342,train
10004021975,train
10003679509,train
10004447252,train
10004062793,train
10003982226,train
10005093975,train
10004062982,train
10004340418,train
10004621274,train
10004147000,train
10004059071,train
10004100147,train
10004176887,train
10004603118,train
10004305017,train
10004465491,train
10003208711,train
10004671861,train
10003990743,train
10003308044,train
10004760586,train
10004717560,train
10004275654,train
10003988078,train
10003393238,train
10003271439,train
10004041109,train
10003291475,train
10004621203,train
10004335728,train
10004875790,train
10003566229,train
10004285560,train
10004599454,train
10003671798,train
10004468742,train
10004738039,train
10004212613,train
10004060221,train
10004083899,train
10004468437,train
10003461032,train
10004575784,train
10003854996,train
10003829655,train
10004515322,train
10003360064,train
10003899356,train
10003398708,train
10003236848,train
10004834807,train
10004849981,train
10004297378,train
10004345447,train
10005112565,train
10005110447,train
10004466383,train
10004438496,train
10003293110,train
10004346866,train
10005079389,train
10004153256,train
10003624538,train
10004806469,train
10003262368,train
10004144788,train
10004467378,train
10004663490,train
10003537117,train
10003618168,train
10003679028,train
10003943197,train
10003301787,train
10004596858,train
10004187176,train
10004541697,train
10004559348,train
10004833223,train
10004490436,train
10003360171,train
10004438102,train
10003673262,train
10004854188,train
10004365121,train
10003974818,train
10004459773,train
10004431484,train
10004428260,train
10004341675,train
10003293006,train
10004173341,train
10003522558,train
10003268889,train
10004540557,train
10003988486,train
10003899250,train
10004085363,train
10003989521,train
10003439034,train
10003977360,train
10004255044,train
10003931421,train
10003302604,train
10004033757,train
10003380194,train
10004838067,train
10005116698,train
10005100206,train
10003272510,train
10004391505,train
10003582415,train
10004172285,train
10003482210,train
10004720634,train
10003567188,train
10004691097,train
10003235935,train
10004199680,train
10004020884,train
10005058939,train
10003975522,train
10003921267,train
10003979441,train
10004438419,train
10003977729,train
10003538481,train
10004235557,train
10003460940,train
10003214256,train
10004846955,train
10004561060,train
10003212990,train
10003591152,train
10003229547,train
10004134797,train
10003606156,train
10003672751,train
10004588345,train
10003932448,train
10004838201,train
10005038498,train
10004265081,train
10003405982,train
10004734448,train
10005057639,train
10004175745,train
10004427922,train
10004093652,train
10004579541,train
10004437623,train
10004535659,train
10004812314,train
10004736955,train
10003638566,train
10004973611,train
10004602152,train
10004899463,train
10003225505,train
10004979835,train
10003425926,train
10005114818,train
10004756034,train
10004852605,train
10003318082,train
10003559600,train
10003389150,train
